ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb37721115h		Veille stratégique, scientifique & technologique				fre ; français					Université Polytechnique de Catalogne (Barcelona)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37721115h
ark:/12148/cb37582755j		Philosophie des Lumières		Collection : Philosophies		fre ; français					Éd. France loisirs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Jaquette ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37582755j
ark:/12148/cb469279651		Procédures opérationnelles : [module] 070				fre ; français					Institut aéronautique Mermoz (Rungis)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2021	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb469279651
ark:/12148/cb377208961		Manuel de prospective stratégique		Collection : Stratégies et management		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb377208961
ark:/12148/cb37126266v		Journal d'un mutant / Solaris				fre ; français			Solaris, Sébastien. Auteur du texte		Sum (Montdragon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	vol. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb37126266v
ark:/12148/cb375827577		Philosophie moderne		Collection : Philosophies		fre ; français					Éd. France loisirs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Jaquette ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb375827577
ark:/12148/cb38836177s		Management, stratégie ([Nouv. éd.]) 				fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb38836177s
ark:/12148/cb421544570		Spleen total / Serge Guiot				fre ; français			Guiot, Serge (1938-....). Auteur du texte		Éd. Amalthée (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb421544570
ark:/12148/cb37583438c		Atlas de la terrariophilie				fre ; français					Animalia éd. (Campsegret)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37583438c
ark:/12148/cb421753294		Démarche analytique				fre ; français					Animaeψ - Institut IESCA (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb421753294
ark:/12148/cb375830504		Carnets secrets / Jean Montaldo				fre ; français			Montaldo, Jean (1941-....). Auteur du texte		A. Michel (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb375830504
ark:/12148/cb361328209		Beaux-arts pratique / Jean Avy				fre ; français			Avy, Jean (1959-....). Auteur du texte		D. Carpentier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb361328209
ark:/12148/cb37012251g		Joris Helleputte : architect en politicus, 1852-1925				dut ; néerlandais 					Universitaire Pers (Leuven)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	2 vol. : ill. ; 29 cm	http://catalogue.bnf.fr/ark:/12148/cb37012251g
ark:/12148/cb34346501f		Les personnages de la sainte Bible / par SS le pape Shenouda III				fre ; français					J.-Y. Sorial (Neuilly-sur-Marne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34346501f
ark:/12148/cb34347922r		Maîtrise de Microsoft				fre ; français					Microsoft (Redmond (Wash.)) ; [Microsoft France diff.] (Les Ulis)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	199 	ressource électronique ; electronic resource	CD-ROM ; 12 cm	http://catalogue.bnf.fr/ark:/12148/cb34347922r
ark:/12148/cb34341422x		La peinture américaine (Nouv. éd.) 		Collection : Skira-classiques		fre ; français					Skira (Genève)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb34341422x
ark:/12148/cb37582502d		Justice et société en Espagne au XVIIIe siècle				fre ; français					CRIC (Toulouse) ; OPHRYS (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37582502d
ark:/12148/cb371267020		Moments de réflexion / Ruth Fichel				fre ; français			Fishel, Ruth. Auteur du texte		Motivaction éd. (Saint-Hubert (Québec))	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 10 cm	http://catalogue.bnf.fr/ark:/12148/cb371267020
ark:/12148/cb37136412p		DECF, annales corrigées 2001 ([Nouv. éd.]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37136412p
ark:/12148/cb37127473x		DECF, DESCF, MSTCF, manuel (3e éd.) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37127473x
