ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb388437668		Le manuel du management environnemental / Michel Jonquières				fre ; français			Jonquières, Michel. Auteur du texte		Société alpine de publications (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb388437668
ark:/12148/cb371362960		Honfleur et son canton au quotidien : 1939-1945 / Pierre Boiteau				fre ; français			Boiteau, Pierre (1977-....). Auteur du texte		Éd. de la lieutenance (Honfleur)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb371362960
ark:/12148/cb37126466d		Bonjour la France / Pierre Bonte				fre ; français			Bonte, Pierre (1932-....). Auteur du texte		Communication presse éd. (Romorantin)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb37126466d
ark:/12148/cb370118360		Morceaux choisis / Claude Favre				fre ; français			Favre, Claude. Auteur du texte		le Temps apprivoisé (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb370118360
ark:/12148/cb44369756h		Les regrets du destin : roman / Sunsette Bouvard				fre ; français			Bouvard, Sunsette (1948-....). Auteur du texte		Edilivre (Saint-Denis)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb44369756h
ark:/12148/cb457575563		La longue marche du dépôt du Mans / Benoît Hardy				fre ; français			Hardy, Benoît. Auteur du texte		"La Vie du rail" (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2019	texte imprimé ; printed text ; text	Ill. en coul. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb457575563
ark:/12148/cb45058316b		Femmes de Licornia / Nirmala Gustave				fre ; français			Gustave, Nirmala (1964-....). Auteur du texte		les Éditions du Net (Suresnes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb45058316b
ark:/12148/cb37135927v		Cycle de Tristan de Castelreng / Pierre Naudin				fre ; français			Naudin, Pierre (1923-2011). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37135927v
ark:/12148/cb34312377j		Les Compagnons de notre vie / par Eddie Edmond				fre ; français			Edmond, Eddie. Auteur du texte		Éd. des Baous (Vence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb34312377j
ark:/12148/cb388200577		DESCF, annales corrigées 2002 ([Nouv. éd.]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb388200577
ark:/12148/cb423202576		Animal Totem / >Pierre Gemme				fre ; français			Gemme, Pierre (1964-....). Auteur du texte		Éd. Volpilière (Élancourt)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb423202576
ark:/12148/cb42513007z		Crise, krach, collapsus / David Mascré				fre ; français			Mascré, David (1971-....). Auteur du texte		les Éd. de l'Infini (Reims)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	Ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb42513007z
ark:/12148/cb453851971		La saga de la petite ceinture / Bruno Carrière				fre ; français			Carrière, Bruno. Auteur du texte		"La Vie du rail" (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2017	texte imprimé ; printed text ; text	Ill. ; 29 cm	http://catalogue.bnf.fr/ark:/12148/cb453851971
ark:/12148/cb43788988d		La forge de Froncles dans l'histoire / Monique Cardot				fre ; français			Cardot, Monique (1943-....). Auteur du texte		M. Cardot (Clichy-la-Garenne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb43788988d
ark:/12148/cb37012558q		Les associations cultuelles : manuel pratique (2e éd. rev.) Daniel Bordreuil				fre ; français			Bordreuil, Daniel (1929-....). Auteur du texte		Éd. Barnabas (Dozulé)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	2 vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37012558q
ark:/12148/cb34347658x		OEuvres romanesques / Jacques Faizant				fre ; français			Faizant, Jacques (1918-2006). Auteur du texte		Denoël (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992-1997	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34347658x
ark:/12148/cb34342298v		Belle grand-mère : roman / Janine Boissard				fre ; français			Boissard, Janine (1932-....). Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34342298v
ark:/12148/cb34333538v		Ma Méthode de santé / Dr Jacques Janet				fre ; français			Janet, Jacques (1927-....). Auteur du texte		Ed. Bionat (Bordeaux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34333538v
ark:/12148/cb42333928g		Piti l'escargot / Sandrine Lhomme				fre ; français			Lhomme, Sandrine (1970-....). Auteur du texte		Auzou (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42333928g
ark:/12148/cb343138895		J.-J. Henner				fre ; français					Ed. du Rhin (Steinbrunn-le-Haut)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb343138895
ark:/12148/cb34345139s		Essai de psychologie sensible / Célestin Freinet				fre ; français			Freinet, Célestin (1896-1966). Auteur du texte		Delachaux et Niestlé (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1971	texte imprimé ; printed text ; text	2 vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34345139s
ark:/12148/cb37012209p		DECF, DESCF, MSTCF, entraînement et cas corrigés (Éd. 1999-2000) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37012209p
ark:/12148/cb37127469p		Regards sur les littératures coloniales				fre ; français					l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Couv. ill. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb37127469p
ark:/12148/cb371271199		"Viking" : cahiers de la jeunesse des pays normands ([Reprod. en fac-sim.]) 				fre ; français					les Éd. du Veilleur de proue (Rouen)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	 : ill., couv. ill. ; 29 cm	http://catalogue.bnf.fr/ark:/12148/cb371271199
ark:/12148/cb436501994		Gospel vision académie / Franck Alexandre				fre ; français			Alexandre, Franck (1967-....). Auteur du texte		Association Gospel-Vision international (Sainte-Savine)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2013	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb436501994
ark:/12148/cb39008619m		Griefs d'une femme / Sophie Herszkowicz				fre ; français			Herszkowicz, Sophie (1968-....). Auteur du texte		Éd. Sulliver (Arles)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb39008619m
ark:/12148/cb40129489x		Les enquêtes de Festus / Bertrand Lançon				fre ; français			Lançon, Bertrand (1952-....). Auteur du texte		Alvik éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb40129489x
ark:/12148/cb41125499d		Le grand Bothros / Gérard Chamdesix				fre ; français			Chamdesix, Gérard (1957-....). Auteur du texte		Édilivre-Éd. Aparis (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb41125499d
ark:/12148/cb44347919z		La société automatique / Bernard Stiegler				fre ; français			Stiegler, Bernard (1952-2020). Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	Ill. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb44347919z
ark:/12148/cb34293600h		Les origines des principales fêtes chrétiennes / Robert van Assche				fre ; français			Van Assche, Robert. Auteur du texte		Cercle Ernest-Renan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1974-1975	texte imprimé ; printed text ; text	2 vol. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34293600h
ark:/12148/cb37720880n		Les enquêtes de Lord Percival / Christopher Carter		Collection : Pocket ; 11177-		fre ; français			Carter, Christopher (1947-....). Auteur du texte		Pocket (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37720880n
ark:/12148/cb37136430m		DECF, manuel & applications		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37136430m
ark:/12148/cb43865540b		L'aventure thermale / Hubert Delpont				fre ; français			Delpont, Hubert (1946-....). Auteur du texte		Éd. d'Albret (Narrosse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb43865540b
ark:/12148/cb37011901m		Pièces contractuelles et documents types des marchés publics / Jacques Buès				fre ; français			Buès, Jacques. Auteur du texte		Éd. Weka (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	32 cm	http://catalogue.bnf.fr/ark:/12148/cb37011901m
ark:/12148/cb371263513		DECF, annales corrigées 2000 ([Nouv. éd.]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb371263513
ark:/12148/cb37582731j		DECF, corrigés du manuel		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37582731j
ark:/12148/cb34334751v		XXe siècle		Collection : Itinéraires littéraires		fre ; français					Hatier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb34334751v
ark:/12148/cb38810281f		Le chant du Grand Nord / Nicolas Vanier				fre ; français			Vanier, Nicolas (1962-....). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb38810281f
ark:/12148/cb36945851w		Orion se fait connaître / Alexis de la Roche				fre ; français			La Roche, Alexis de (1953-....). Auteur du texte		AATIQ, Association artistique théâtrale inter quartier (Miribel)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb36945851w
ark:/12148/cb40973491f		Le devenir-monde du capitalisme / Alain Bihr		Collection : Cahiers libres		fre ; français			Bihr, Alain (1950-....). Auteur du texte		Éd. Page deux (Lausanne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb40973491f
ark:/12148/cb40939101f		Louis / Fabienne Anglaret				fre ; français			Anglaret, Fabienne (1955-....). Auteur du texte		ABM Éd. (Courtomer)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb40939101f
ark:/12148/cb40074931n		Les maisons de retraite seraient-elles des lieux mortifères ? / Mahimoss-Drac				fre ; français			Mahimoss-Drac. Auteur du texte			Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	Couv. ill. ; 20 cm	http://catalogue.bnf.fr/ark:/12148/cb40074931n
ark:/12148/cb42737281n		Histoire de France / Jules Michelet	France -- Histoire			fre ; français			Michelet, Jules (1798-1874). Auteur du texte		Éditions Rencontre (Lausanne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1966	texte imprimé ; printed text ; text	18 vol. : ill. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb42737281n
ark:/12148/cb36594592r		Les trains de banlieue / Bruno Carrière				fre ; français			Carrière, Bruno. Auteur du texte		Éd. "La Vie du rail & des transports" (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	Ill., couv. ill. ; 31 cm	http://catalogue.bnf.fr/ark:/12148/cb36594592r
ark:/12148/cb34334372q		Obras de Emilio Frugoni				spa ; espagnol 			Frugoni, Emilio (1880- 196). Auteur du texte		Ed. de la Banda Oriental (Montevideo)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	10 vol. ; 19 cm	http://catalogue.bnf.fr/ark:/12148/cb34334372q
ark:/12148/cb343347526		XXe siècle		Collection : Itinéraires littéraires		fre ; français					Hatier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb343347526
ark:/12148/cb34302122h		Raport o stanie wojennym / Marek Nowakowski				pol ; polonais			Nowakowski, Marek (1935-2014). Auteur du texte		Instytut literacki (Le Mesnil-le-Roi)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1982	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34302122h
ark:/12148/cb34312162z		Catalogue thématique des affiches lacérées de Villeglé				fre ; français					Marval (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	31 cm	http://catalogue.bnf.fr/ark:/12148/cb34312162z
ark:/12148/cb34317512q		Le vieux Grenoble...				fre ; français					Roissard (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1968	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34317512q
ark:/12148/cb370122326		Hazebrouck en faits divers / sous la dir. de Michel Loosen				fre ; français				Loosen, Michel. Directeur de publication	Houtland éd. (Steenvoorde)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Ill., couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb370122326
ark:/12148/cb37126352f		DPECF, annales corrigées 2000 ([Nouv. éd.]) 				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37126352f
ark:/12148/cb37126962d		[Mémento 2000] (Éd. 2000, à jour au 15-01-2000) 		Collection : Les mémentos PM&T		fre ; français					Patrimoine management & technologies (Boulogne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37126962d
ark:/12148/cb41468332x		Prospectives sociales et médico-sociales / sous la direction de Jean-Marie Descamps, Daniel Sentein, Laurent Sentein				fre ; français					Espace Sentein (Montpellier)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb41468332x
ark:/12148/cb39259533h		Notes d'arrêts de Marcel Waline				fre ; français			Waline, Marcel (1900-1982). Auteur du texte		Dalloz (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb39259533h
ark:/12148/cb34336963w		Droit civil (4e éd.) 	Droit civil -- France			fre ; français					Dalloz (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34336963w
ark:/12148/cb37583533x		Conservation et intégrité de l'information électronique scripturale ou documentaire / [Lucien Pauliac]				fre ; français			Pauliac, Lucien. Auteur du texte		Preuve & micrographie (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	 ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583533x
ark:/12148/cb37582903v		L'enseignement de Platon / Louis Guillermit		Collection : Polemos		fre ; français			Guillermit, Louis (19..-1982). Auteur du texte		l'Éclat (Nîmes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb37582903v
ark:/12148/cb375827337		DPECF, corrigés du manuel		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb375827337
ark:/12148/cb41120993h		La grande intrigue / François Taillandier		Collection : Collection Folio		fre ; français			Taillandier, François (1955-....). Auteur du texte		Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb41120993h
ark:/12148/cb37583354b		Le Grand Orient de France au XIXe siècle / André Combes				fre ; français			Combes, André (1939-....). Auteur du texte		Éd. maçonniques de France (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb37583354b
ark:/12148/cb34337364t		Romans d'Afrique / Christiam Petr				fre ; français			Petr, Christian (1951-2016). Auteur du texte		Éd. nouvelles du Sud (Ivry)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	24 cm.	http://catalogue.bnf.fr/ark:/12148/cb34337364t
ark:/12148/cb34346184v		Une aventure de Ferdinand Schmurrel / Schuster Jean-Luc				fre ; français			Schuster, Jean-Luc. Auteur du texte		J.-L. Schuster (Mutlig)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	31 cm	http://catalogue.bnf.fr/ark:/12148/cb34346184v
ark:/12148/cb34310354d		Marie-Solitude / [texte] de Maria Visconti				fre ; français			Visconti, Marie (1936-....). Auteur du texte		Ed. de Trevise (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1979	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34310354d
ark:/12148/cb343422249		Jason Stalker / Marc Tanner		Collection : Supercops		fre ; français			Tanner, Mack. Auteur du texte		Fleuve noir (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb343422249
ark:/12148/cb37582714z		DESCF, manuel & applications (Éd. 2001) 		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb37582714z
ark:/12148/cb371270040		Axis : l'univers documentaire / Hachette				fre ; français					le Livre de Paris-Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb371270040
ark:/12148/cb411590647		L'épopée des seigneurs de Cabriérès / Philippe Huppé				fre ; français			Huppé, Philippe (1968-....). Auteur du texte		les Presses littéraires (Saint-Estève)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb411590647
ark:/12148/cb42144664m		Le manuel du management environnemental / Michel Jonquières				fre ; français			Jonquières, Michel. Auteur du texte		SAP (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb42144664m
ark:/12148/cb343348158		Tourisme et musées : essai bibliographique		Collection : Essai		fre ; français					Centre des hautes études touristiques (Aix-en-Provence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343348158
ark:/12148/cb34346445s		Vente action marchande : BEP (Éd. rev. et cor.) 		Collection : Plein pot		fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34346445s
ark:/12148/cb37720975b		L'homme des droits de l'homme / Xavier Martin				fre ; français			Martin, Xavier (1945-....). Auteur du texte		D. M. Morin (Bouère)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb37720975b
ark:/12148/cb37720925s		La dimension commune / Ronald Bonan		Collection : Ouverture philosophique		fre ; français			Bonan, Ronald (1961-....). Auteur du texte		l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb37720925s
ark:/12148/cb375830953		Schéma directeur d'aménagement et de gestion des eaux / Comité de bassin de la Guadeloupe				fre ; français			Comité de bassin de la Guadeloupe. Auteur du texte		DIREN Guadeloupe (Basse-Terre)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb375830953
ark:/12148/cb375828356		Démographie : analyse et synthèse				fre ; français					Éd. de l'Institut national d'études démographiques (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb375828356
ark:/12148/cb40953865k		Les messieurs de Grandval / Christian Signol				fre ; français			Signol, Christian (1947-....). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb40953865k
ark:/12148/cb41221785r		Gouvernance européenne et géopolitique de l'énergie / [publié par l'EUR-IFRI]				fre ; français				EUR-IFRI. Éditeur scientifique	IFRI (Paris) ; diff. la Documentation française (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb41221785r
ark:/12148/cb42518415w		La dernière larme / Fatou Ndong				fre ; français			Ndong, Fatou (1977-....). Auteur du texte		Éd. S. Kena (Viller)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42518415w
ark:/12148/cb427843759		Se coucher moins bête / Philippe Rocheteau				fre ; français			Rocheteau, Philippe. Auteur du texte		Privé (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2012	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb427843759
ark:/12148/cb36946666m		Les voyageurs juifs... / Haïm Harboun				fre ; français			Harboun, Haim (1932-....). Auteur du texte		Éd. Massoreth (Aix-en-Provence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb36946666m
ark:/12148/cb36946106c		Auteuil : hier et aujourd'hui : histoire des courses d'obstacles en France / Guy Thibault				fre ; français			Thibault, Guy (1930-....). Auteur du texte		Éd. du Castelet (Boulogne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb36946106c
ark:/12148/cb369463465		Les îles étrangères / Jean-Maurice de Montremy				fre ; français			Montremy, Jean-Maurice de (1952-....). Auteur du texte		Bartillat (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb369463465
ark:/12148/cb34346256w		Les albums de la famille Loup / Michel Gay				fre ; français			Gay, Michel (1947-....). Auteur du texte		Gautier-Languereau (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 x 25 cm	http://catalogue.bnf.fr/ark:/12148/cb34346256w
ark:/12148/cb343141764		La peinture américaine		Collection : Skira-Flammarion		fre ; français					Skira (Genève) ; Flammarion (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb343141764
ark:/12148/cb34341656s		Le juge d'Égypte / Christian Jacq				fre ; français			Jacq, Christian (1947-....). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34341656s
